STATION,NAME,DATE,PRCP
IN020040900,"MADRAS MINAMBAKKAM, IN",11/23/1991,0.31
IN020040900,"MADRAS MINAMBAKKAM, IN",11/24/1991,0.02
IN020040900,"MADRAS MINAMBAKKAM, IN",11/25/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/26/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/27/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/28/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/29/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/30/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/1/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/2/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/3/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/4/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/5/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/6/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/7/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/8/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/9/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/10/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/11/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/12/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/13/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",12/14/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/15/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",12/16/1991,0.06
IN020040900,"MADRAS MINAMBAKKAM, IN",12/17/1991,0.01
IN020040900,"MADRAS MINAMBAKKAM, IN",12/18/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/19/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/20/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/21/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/22/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/23/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/24/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/25/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/26/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/27/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/28/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/29/1991,0.01
IN020040900,"MADRAS MINAMBAKKAM, IN",12/30/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",12/31/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",1/1/1992,0.2
IN020040900,"MADRAS MINAMBAKKAM, IN",1/2/1992,1.33
IN020040900,"MADRAS MINAMBAKKAM, IN",1/3/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/4/1992,0.01
IN020040900,"MADRAS MINAMBAKKAM, IN",1/5/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/6/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/7/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/8/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/9/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/10/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/11/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/12/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/13/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/14/1992,0.18
IN020040900,"MADRAS MINAMBAKKAM, IN",1/15/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/16/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/17/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/18/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/19/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/20/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/21/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/22/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/23/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/24/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/25/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/26/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/27/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/28/1992,0
IN020040900,"MADRAS MINAMBAKKAM, IN",1/29/1992,0
