STATION,NAME,DATE,PRCP,MONTH,YEAR
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-16,0.03,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-17,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-18,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-19,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-20,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-21,0.04,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-22,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-23,0.65,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-24,1.43,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-25,0.58,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-26,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-27,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-28,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-30,0.03,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-01,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-04,0.04,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-05,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-07,0.01,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-08,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-10,0.18,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-11,0.01,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-12,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-13,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-14,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-15,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-16,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-17,0.02,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-18,1.89,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-19,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-20,0.04,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-21,0.06,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-22,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-23,0.01,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-24,0.01,10,1991
